id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
1,ソーサラー,真語魔法,,1,【エネルギー・ボルト】,エネルギー・ボルト,エネルギーボルト,▶,MP5,,1体,2(30m)/射撃,一瞬,半減,純エネルギー,k10ダメージ,I-248/MA-69,,
2,ソーサラー,真語魔法,,1,【ブラント・ウェポン】,ブラント・ウェポン,ブラントウェポン,▶,MP2,,1体,2(30m)/起点指定,3分(18R),消滅,,対象の発生させる物理ダメージを-4,I-248/MA-69,,
3,ソーサラー,真語魔法,,1,【ライト】,ライト,ライト,▶,MP1,,任意の地点,2(30m)/起点指定,3時間,なし,,半径10mを光で照らす,I-248/MA-69,,
4,ソーサラー,真語魔法,,1,【ロック】,ロック,ロック,▶,MP1,,物体1つ,接触/-,一瞬,なし,,鍵を動かし、施錠する,I-248/MA-69,,
5,ソーサラー,真語魔法,,2,【センス・マジック】,センス・マジック,センスマジック,▶,MP1,,物体1つ,2(30m)/起点指定,一瞬,なし,,魔法がかけられているか調べる,I-249/MA-69,,
6,ソーサラー,真語魔法,,2,【ディスペル・マジック】,ディスペル・マジック,ディスペルマジック,▶,MP3,,魔法1つ,2(30m)/起点指定,一瞬,消滅,,魔法の効果を失わせる,I-249/MA-69,,
7,ソーサラー,真語魔法,,2,【ナップ】,ナップ,ナップ,▶,MP5,,1体X,1(10m)/起点指定,3分(18R),消滅,精神効果(弱),対象を居眠りさせる,I-249/MA-69,,
8,ソーサラー,真語魔法,,2,【バイタリティ】,バイタリティ,バイタリティ,▶,MP2,,1体全,2(30m)/起点指定,3分(18R),任意,,生命抵抗力判定+2,I-249/MA-69,,
9,ソーサラー,真語魔法,,3,【アンロック】,アンロック,アンロック,▶,MP2,,物体1つ,接触/-,一瞬,消滅,,鍵を開ける,I-250/MA-69,,
10,ソーサラー,真語魔法,,3,【センス・エネミィ】,センス・エネミィ,センスエネミィ,▶,MP2,,1体全,2(30m)/起点指定,一瞬,消滅,,対象の敵意を察知する,I-250/MA-70,,
11,ソーサラー,真語魔法,,3,【パラライズ】,パラライズ,パラライズ,▶,MP3,,1体,2(30m)/起点指定,3分(18R),消滅,,命中力判定または回避力判定を-2,I-250/MA-70,,
12,ソーサラー,真語魔法,,3,【リープ・スラッシュ】,リープ・スラッシュ,リープスラッシュ,▶,MP7,,1体,1(10m)/起点指定,一瞬,半減,断空,k20ダメージ,I-250/MA-70,,
