名称,シンドローム,最大Lv,タイミング,技能,難易度,対象,射程,侵蝕値,制限,,効果,内容,侵触率基本値,ｲｰｼﾞｰ,ｴﾈﾐｰ,ﾀﾞｲｽ,C値,C下,達成値,ATK,ID(検索用),出典,備考,,,簡単効果,,,,
神の眼,エンジェルハィロゥ,1,リアクション,知覚,対決,自身,至近,1,-,,このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,全知覚を使って攻撃を避けるエフェクト。,,FALSE,FALSE,,,,,,6,1,,,,知覚でドッジ可能,全知覚を使って攻撃を避けるエフェクト。このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,全知覚を使って攻撃を避ける,このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,
幻惑の光,エンジェルハィロゥ,1,メジャーアクション,RC,対決,-,視界,2,-,,射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与える。,光の信号によって、運動能力を低下させる催眠術をかけるエフェクト。,,FALSE,FALSE,,,,,,8,1,,,,射撃攻撃、命中したら放心,光の信号によって、運動能力を低下させる催眠術をかけるエフェクト。射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与える。,光の信号によって、運動能力を低下させる催眠術をかける,射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与える。,
光芒の疾走,エンジェルハィロゥ,3,マイナーアクション,-,自動成功,自身,至近,1,-,,あなたは戦闘移動を行なう。この移動では、離脱を行なえる。また、移動中に他のエンゲージに接触しても移動を終える必要はなく、封鎖の影響も受けない、このエフェクトは1シーンにLV回まで使用できる。,弱い光によって目くらましをかけ、その隙に移動するエフェクト。,,FALSE,FALSE,,,,,,10,1,,,,シーンLv、戦闘移動、離脱可能、封鎖を受けない,弱い光によって目くらましをかけ、その隙に移動するエフェクト。あなたは戦闘移動を行なう。この移動では、離脱を行なえる。また、移動中に他のエンゲージに接触しても移動を終える必要はなく、封鎖の影響も受けない、このエフェクトは1シーンにLV回まで使用できる。,弱い光によって目くらましをかけ、その隙に移動する,あなたは戦闘移動を行なう。この移動では、離脱を行なえる。また、移動中に他のエンゲージに接触しても移動を終える必要はなく、封鎖の影響も受けない、このエフェクトは1シーンにLV回まで使用できる。,
主の恩恵,エンジェルハィロゥ,3,マイナーアクション,-,自動成功,自身,至近,2,-,,そのメインプロセスの間、あなたが行なうエンジェルハィロゥのエフェクトを組み合わせた判定のダイスを+LV個する。,体内に光を集め、次に発生させる光を増幅するエフェクト。,,FALSE,FALSE,,,,,,12,1,,,,メインプロセス、判定+LvD,体内に光を集め、次に発生させる光を増幅するエフェクト。そのメインプロセスの間、あなたが行なうエンジェルハィロゥのエフェクトを組み合わせた判定のダイスを+LV個する。,体内に光を集め、次に発生させる光を増幅する,そのメインプロセスの間、あなたが行なうエンジェルハィロゥのエフェクトを組み合わせた判定のダイスを+LV個する。,
主の右腕,エンジェルハィロゥ,5,メジャーアクション,シンドローム,対決,-,-,2,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,相手のもっとも弱い部分を見抜き、正確に攻撃するエフェクト。,,FALSE,FALSE,,,,,,13,1,,,,ATK+[Lv*2],相手のもっとも弱い部分を見抜き、正確に攻撃するエフェクト。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,相手のもっとも弱い部分を見抜き、正確に攻撃する,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,
水晶の眼,エンジェルハィロゥ,3,メジャー/リアクション,知覚,-,-,-,1,-,,このエフェクトを組み合わせた判定のダイスを+LV個する。,遠くの風景を登気模のように眼前に投影するエフェクト。,,FALSE,FALSE,,,,,,15,1,,,,判定+LvD,遠くの風景を登気模のように眼前に投影するエフェクト。このエフェクトを組み合わせた判定のダイスを+LV個する。,遠くの風景を登気模のように眼前に投影する,このエフェクトを組み合わせた判定のダイスを+LV個する。,
スターダストレイン,エンジェルハィロゥ,3,メジャーアクション,RC,対決,シーン(選択),視界,6,-,,このエフェクトを組み合わせた射撃攻撃の対象をシーン(選択)に、射程を視界に変更する。ただし、その攻撃の攻撃力を-[20-LV×5](最大0)する。このエフェクトは1シナリオに1回まで使用できる。,レーザー光線を乱射するエフェクト。,,FALSE,FALSE,,,,,,16,1,,,,シナリオ1、射撃攻撃の対象をシーン(選択)に、射程を視界に、ATK-[20-LV×5](最大0),レーザー光線を乱射するエフェクト。このエフェクトを組み合わせた射撃攻撃の対象をシーン(選択)に、射程を視界に変更する。ただし、その攻撃の攻撃力を-[20-LV×5](最大0)する。このエフェクトは1シナリオに1回まで使用できる。,レーザー光線を乱射する,このエフェクトを組み合わせた射撃攻撃の対象をシーン(選択)に、射程を視界に変更する。ただし、その攻撃の攻撃力を-[20-LV×5](最大0)する。このエフェクトは1シナリオに1回まで使用できる。,
絶対の孤独,エンジェルハィロゥ,3,メジャーアクション,RC,対決,単体,視界,3,-,,射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-[LV+1]個する。,光を遮断して闇を作り、行動を阻害するエフェクト。,,FALSE,FALSE,,,,,,17,1,,,,射撃攻撃、命中時、対象のあらゆる判定-[Lv+1]D,光を遮断して闇を作り、行動を阻害するエフェクト。射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-[LV+1]個する。,光を遮断して闇を作り、行動を阻害する,射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-[LV+1]個する。,
小さな塵,エンジェルハィロゥ,5,メジャーアクション,射撃,対決,-,武器,2,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,精密射撃を行なえるように、知覚能力を強化するエフェクト。,,FALSE,FALSE,,,,,,19,1,,,,ATK+[Lv*2],精密射撃を行なえるように、知覚能力を強化するエフェクト。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,精密射撃を行なえるように、知覚能力を強化する,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,
光の衣,エンジェルハィロゥ,3,マイナーアクション,-,自動成功,自身,至近,4,-,,そのメインプロセスの間あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シナリオにLV回まで使用できる。,光の屈折率を変化させて、銃弾やみずからの姿などを隠すエフェクト。,,FALSE,FALSE,,,,,,24,1,,,,シナリオLv、メジャーアクションに対するリアクションのC値+1,光の屈折率を変化させて、銃弾やみずからの姿などを隠すエフェクト。そのメインプロセスの間あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シナリオにLV回まで使用できる。,光の屈折率を変化させて、銃弾やみずからの姿などを隠す,そのメインプロセスの間あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シナリオにLV回まで使用できる。,
