
,キャラクター名,,,,コードネーム,,,,,絵URL,"ココフォリア
出力","ステータス
非公開","盤面一覧
非表示","HPを
与ダメに"
,カスガ　キョウジ,,,,,,,,,,,,,
,春日恭二（作例）,,,,ディアボロス,,,,,https://storage.ccfolia-cdn.net/users/kdAUSi9vTpPfd45w6r6mUySCu4A3/files/660ee8f2c902d5d80ae94ae923243f27b5afcd19bbd3b69d18d0f15dfd5d82a8,"{""kind"":""character"",""data"":{""name"":""春日恭二（作例）"",""memo"":""\n\n───\n(カスガ　キョウジ)\nコードネーム：ディアボロス\nシンドローム：キュマイラ、エグザイル、ブラム＝ストーカー\n悪魔の名を持つFHエージェント。N市にいるオーヴァード候補者を選別し、FHに連れて帰る任務の途中。"",""initiative"":12,""iconUrl"": ""https://storage.ccfolia-cdn.net/users/kdAUSi9vTpPfd45w6r6mUySCu4A3/files/660ee8f2c902d5d80ae94ae923243f27b5afcd19bbd3b69d18d0f15dfd5d82a8"",""status"":[{""label"":""HP"",""value"":""40"",""max"":""40""}],""params"":[{""label"":""肉体"",""value"":""6""},{""label"":""感覚"",""value"":""2""},{""label"":""精神"",""value"":""8""},{""label"":""社会"",""value"":""2""},{""label"":""装甲"",""value"":""0""},{""label"":""侵蝕率D"",""value"":""3""},{""label"":""移動力"",""value"":""17""},{""label"":""全力移動"",""value"":""34""}],""faces"":[],""color"":"""",""secret"":false,""hideStatus"":false,""commands"":""({肉体}+{侵蝕率D})DX+4 【肉体】〈白兵〉\n({肉体}+{侵蝕率D})DX+3 【肉体】〈回避〉\n({感覚}+{侵蝕率D})DX+0 【感覚】〈射撃〉\n({感覚}+{侵蝕率D})DX+3 【感覚】〈知覚〉\n({精神}+{侵蝕率D})DX+4 【精神】〈RC〉\n({精神}+{侵蝕率D})DX+3 【精神】〈意志〉\n({社会}+{侵蝕率D})DX+0 【社会】〈交渉〉\n({社会}+{侵蝕率D})DX+0 【社会】〈調達〉\n({社会}+{侵蝕率D})DX+1 【社会】〈情報：裏社会〉\n\n◆不屈の一撃\n《吸収》Lv2+《オールレンジ》Lv2+《イージスの盾》Lv2+《破壊の爪》Lv2+《渇きの主》Lv2\n『ふははは！ 受けるダメージを減らしたいなら装甲値を上げるのが一番楽だぞ！ もっとも、私の《渇きの主》のように装甲値を無視する手段を持つ者も多いがなぁ！』\nタイミング:メジャー　技能:肉体　対象:単体　射程:至近　ATK:14　C値:7\n《破壊の爪》による白兵攻撃。装甲値を無視してダメージを与える。命中した場合、自身のHPを[Lv×4]点回復。1点でもHPダメージを与えた場合、そのラウンドの間、対象の行なうあらゆる判定のダイスを2個する。\n({肉体}+{侵蝕率D}+11)DX7+22 不屈の一撃\n""}}",FALSE,FALSE,FALSE
,,,,,,,,,,,,,,
,解説（コマに乗る）,,,,,,,,,,,,,侵蝕率
,悪魔の名を持つFHエージェント。N市にいるオーヴァード候補者を選別し、FHに連れて帰る任務の途中。,,,,,,,,,,,,,120
,立ち回りとか（コマに乗らない）,,,,,,,,,,,,,侵蝕率D
,"最初のマイナーで《破壊の爪》+《ハンティングスタイル》を使用。白兵武器を作りつつ、PCの人数がもっとも多いエンゲージへ移動する。
メジャーでは「不屈の一撃」を使用して、射程内にいるPCの中から、ランダムに1体を選択して攻撃する。
攻撃に対しては、《イージスの盾》を使用してガードを行なう。《破壊の爪》を使用してからのガード値は1+2Dである。
ミドルの戦闘では一度HPが0になったら《蘇生復活》を使用し、即座に《瞬間退場》でいなくなる。",,,,,,,,,,,,,3
,,,,,,,,,,,,,,
,ブリード：トライブリード,,,,肉体,感覚,精神,社会,HP,行動値,装甲,移動力,能力/技能,126
,シンドローム①,,キュマイラ,,5,1,0,2,40,12,0,17,エフェクト,195
,シンドローム②,,エグザイル,,1,1,8,,,,,,アイテム,0
,オプショナル,,ブラム＝ストーカー,,6,2,8,2,40,12,0,17,経験計▶,321
,シンドローム②のある白い行は自由入力欄,,,,,,,,,,,,,
,技能,,経験点▶,26,,,,,,,,,,
,技能名,指定,使用能力,Lv(DX+◯),◯DX,修正+◯,+◯計,出力,備考,,,,,
,白兵,-,肉体,4,,,4,({肉体}+{侵蝕率D})DX+4 【肉体】〈白兵〉,,,,,,
,回避,-,肉体,3,,,3,({肉体}+{侵蝕率D})DX+3 【肉体】〈回避〉,,,,,,
,射撃,-,感覚,,,,0,({感覚}+{侵蝕率D})DX+0 【感覚】〈射撃〉,,,,,,
,知覚,-,感覚,3,,,3,({感覚}+{侵蝕率D})DX+3 【感覚】〈知覚〉,,,,,,
,RC,-,精神,4,,,4,({精神}+{侵蝕率D})DX+4 【精神】〈RC〉,,,,,,
,意志,-,精神,3,,,3,({精神}+{侵蝕率D})DX+3 【精神】〈意志〉,,,,,,
,交渉,-,社会,,,,0,({社会}+{侵蝕率D})DX+0 【社会】〈交渉〉,,,,,,
,調達,-,社会,,,,0,({社会}+{侵蝕率D})DX+0 【社会】〈調達〉,,,,,,
,情報,裏社会,社会,1,,,1,({社会}+{侵蝕率D})DX+1 【社会】〈情報：裏社会〉,,,,,,
,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,エフェクト,,,,,,-Lv1,◀ﾌﾞﾘｰﾄﾞ最大Lv補正,,TRUE,◀効果文に数値反映,,経験点▶,195
,ｺﾝﾎﾞ用ID,名称,,ｼﾝﾄﾞﾛｰﾑ,Lv,最大Lv,タイミング,技能,対象,射程,効果,,,備考
,1,渇きの主,,🩸,Lv2,Lv5,メジャー,白兵,単体,至近,このエフェクトを組み合わせた白兵攻撃では、対象の装甲値を無視してダメージを算出する。命中した場合、あなたのHPを8点回復する。ただし、この攻撃は素手か《赫き剣》によるものでなければならない。,,,
,2,吸収,,🧬,Lv2,Lv3,メジャー,白兵/射撃,-,武器,このエフェクトを組み合わせた攻撃で1点でもHPダメージを与えた場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-2個する。,,,
,3,オールレンジ,,🧬,Lv2,Lv5,メジャー,白兵/射撃,-,武器,このエフェクトを組み合わせた判定のダイスを+2個する。,,,
,4,イージスの盾,,🐺,Lv2,Lv3,オート,-,-,至近,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+2Dする。,,,
,5,獣の力,,🐺,Lv2,Lv5,メジャー,白兵,-,武器,このエフェクトを組み合わせた白兵攻撃の攻撃力を+4する。,,,
,6,破壊の爪,,🐺,Lv2,Lv5,マイナー,-,自身,至近,"そのシーンの間あなたの素手のデータを以下のように変更する。
種別：白兵　技能：＜白兵＞
命中：0　攻撃力：12
ガード値：1　射程：至近",,,
,7,ハンティングスタイル,,🐺,Lv2,Lv3,マイナー,-,自身,至近,あなたは戦闘移動を行なう。この移動では、離脱を行なえる。また、移動中に他のエンゲージに接触しても移動を終える必要はなく、封鎖の影響も受けない。このエフェクトは1シーンに2回まで使用できる。,,,
,8,コンセントレイト：キュマイラ,,🐺,Lv3,Lv3,メジャー,シンドローム,-,-,組み合わせた判定のクリティカル値を-3する(下限値7)。,,,
,9,蘇生復活,,一般,Lv1,Lv1,オート,-,自身,至近,重圧を受けていても使用可能。このエネミーが戦闘不能、死亡となった時に使用する。戦闘不能、死亡を回復し、このエネミーのHPを1点まで回復させる。このエフェクトは1シナリオに1回まで使用できる。,,,
,10,瞬間退場,,一般,Lv1,Lv3,オート,-,自身,至近,いつでも使用できる。このエフェクトを使用することで、このエネミーはシーンから退場する。このエフェクトは侵蝕率でレベルアップせず、1シナリオに1回まで使用できる。,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,コンボデータ,,,,,,,,,,,,,
,▼ｺﾋﾟﾍﾟ,技名▼,,組合せ▼,,ﾀﾞｲｽｺﾋﾟﾍﾟ,ﾀｲﾐﾝｸﾞ,技能,対象▼,射程▼,ダイス,C値,達成値,ATK
,"◆不屈の一撃
《吸収》Lv2+《オールレンジ》Lv2+《イージスの盾》Lv2+《破壊の爪》Lv2+《渇きの主》Lv2
『ふははは！ 受けるダメージを減らしたいなら装甲値を上げるのが一番楽だぞ！ もっとも、私の《渇きの主》のように装甲値を無視する手段を持つ者も多いがなぁ！』
タイミング:メジャー　技能:肉体　対象:単体　射程:至近　ATK:14　C値:7
《破壊の爪》による白兵攻撃。装甲値を無視してダメージを与える。命中した場合、自身のHPを[Lv×4]点回復。1点でもHPダメージを与えた場合、そのラウンドの間、対象の行なうあらゆる判定のダイスを2個する。",不屈の一撃,,"2,3,4,6,1",,({肉体}+{侵蝕率D}+11)DX7+22 不屈の一撃,メジャー,肉体,単体,至近,11,7,22,14
,構成▶,《吸収》Lv2+《オールレンジ》Lv2+《イージスの盾》Lv2+《破壊の爪》Lv2+《渇きの主》Lv2,,,,,,,,,,,,
,解説▶,《破壊の爪》による白兵攻撃。装甲値を無視してダメージを与える。命中した場合、自身のHPを[Lv×4]点回復。1点でもHPダメージを与えた場合、そのラウンドの間、対象の行なうあらゆる判定のダイスを2個する。,,,,,,,,,,,,"このエフェクトを組み合わせた攻撃で1点でもHPダメージを与えた場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-2個する。
このエフェクトを組み合わせた判定のダイスを+2個する。
あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+2Dする。
そのシーンの間あなたの素手のデータを以下のように変更する。種別：白兵　技能：＜白兵＞命中：0　攻撃力：12ガード値：1　射程：至近
このエフェクトを組み合わせた白兵攻撃では、対象の装甲値を無視してダメージを算出する。命中した場合、あなたのHPを8点回復する。ただし、この攻撃は素手か《赫き剣》によるものでなければならない。"
,ﾌﾚｰﾊﾞｰ,ふははは！ 受けるダメージを減らしたいなら装甲値を上げるのが一番楽だぞ！ もっとも、私の《渇きの主》のように装甲値を無視する手段を持つ者も多いがなぁ！,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,武器,,,TRUE,◀レベル反映,,計▶,0,12,1,※手動でATKに加算してね,,経験点▶,0
,合計反映,名称,,種別,,技能,,命中,攻撃力,ｶﾞｰﾄﾞ値,射程,解説,,
,TRUE,素手（破壊の爪）,,白兵/クリエイトアイテム,,白兵,,0,12,1,至近,そのシーンの間、あなたの素手のデー夕を以下のように変更する。,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,アイテム,,,FALSE,◀レベル反映,,計▶,0,0,0,,,経験点▶,0
,合計反映,名称,,種別,,技能,,ドッジ,行動値,装甲値,解説,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
